,bus0,bus1,length,v_nom,num_parallel,project_status,build_year,tags,x0,y0,x1,y1,type,underground
TYNDP2024_1888,SS Visegrad,SS Pljevlja,91.0,400.0,,in_permitting,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1888"""", """"tyndp2024_invest_id""""=>""""1888""""""",19.388123,43.720497,19.313965,43.309191,,False
TYNDP2024_1231,Muhlbach,Eichstetten,32.0,400.0,,in_permitting,2027,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1231"""", """"tyndp2024_invest_id""""=>""""1231""""""",7.392666,47.896448,7.706806,48.100911,,False
TYNDP2024_1245,Vigy (FR),Uchtelfangen (DE),65.0,400.0,,in_permitting,2029,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1245"""", """"tyndp2024_invest_id""""=>""""1245""""""",6.251509,49.185105,6.943002,49.388488,,False
TYNDP2024_1205,Debrecen Dél,Oradea Sud,90.0,400.0,,in_planning,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1205"""", """"tyndp2024_invest_id""""=>""""1205""""""",21.537117,47.55733,22.021683,47.051942,,False
TYNDP2024_1833,Urechesti (RO),Targu Jiu Nord (RO),22.0,220.0,,in_planning,2028,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1833"""", """"tyndp2024_invest_id""""=>""""1833""""""",23.249817,44.96917,23.372726,45.081279,,False
TYNDP2024_1834,Targu Jiu Nord (RO),Paroseni (RO),38.0,220.0,,in_planning,2028,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1834"""", """"tyndp2024_invest_id""""=>""""1834""""""",23.36998,45.085642,23.315735,45.277786,,False
TYNDP2024_1835,Paroseni (RO),Baru Mare (RO),20.2,220.0,,in_planning,2028,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1835"""", """"tyndp2024_invest_id""""=>""""1835""""""",23.310242,45.282617,23.032837,45.550602,,False
TYNDP2024_1836,Baru Mare (RO),Hasdat (RO),43.9,400.0,,in_planning,2028,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1836"""", """"tyndp2024_invest_id""""=>""""1836""""""",23.032837,45.545793,22.92984,45.761775,,False
TYNDP2024_1865,Nadab,Bekescsaba,59.62,400.0,,in_planning,2027,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1865"""", """"tyndp2024_invest_id""""=>""""1865""""""",21.580582,46.514933,21.154861,46.653207,,False
TYNDP2024_1008,Lonny (FR),Gramme (BE),100.0,400.0,,in_planning,2030,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1008"""", """"tyndp2024_invest_id""""=>""""1008""""""",5.220017,50.456805,4.492969,49.802258,,False
TYNDP2024_604,Liefkenshoek (BE),Mercator (BE),19.0,380.0,,under_construction,2026,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/604"""", """"tyndp2024_invest_id""""=>""""604""""""",4.179014,51.161218,4.303695,51.286834,,False
TYNDP2024_1472,St. Peter,Tauern,128.0,380.0,,under_construction,2025,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1472"""", """"tyndp2024_invest_id""""=>""""1472""""""",13.063054,47.883317,12.739876,47.257055,,False
TYNDP2024_1473,Isar/Altheim/Ottenhofen (DE),St. Peter (AT),90.0,380.0,,in_permitting,2027,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1473"""", """"tyndp2024_invest_id""""=>""""1473""""""",13.081669,48.255972,12.173794,48.637415,,False
TYNDP2024_1478,DEKANI,ZAULE,11.0,110.0,,in_permitting,2026,"""""""url""""=>""""https://tyndp2024.entsoe.eu/projects-map/transmission/1478"""", """"tyndp2024_invest_id""""=>""""1478""""""",13.816826,45.61776,13.803806,45.548618,,False
