index,year,sector,regain,maintain,deindustrial
16,2040,methanol,2.256384615384615,2.1,1.9436153846153852
17,2041,methanol,2.2646153846153845,2.1,1.935384615384616
18,2042,methanol,2.2728461538461535,2.1,1.9271538461538467
19,2043,methanol,2.2810769230769226,2.1,1.9189230769230774
20,2044,methanol,2.289307692307692,2.1,1.9106923076923081
21,2045,methanol,2.297538461538461,2.1,1.902461538461539
22,2046,methanol,2.3057692307692306,2.1,1.8942307692307698
23,2047,methanol,2.3139999999999996,2.1,1.8860000000000006
24,2048,methanol,2.3222307692307687,2.1,1.8777692307692313
25,2049,methanol,2.330461538461538,2.1,1.869538461538462
26,2050,methanol,2.338692307692307,2.1,1.861307692307693
0,2024,hvc,18.29756231884058,17.665521739130433,17.033481159420287
1,2025,hvc,18.929602898550723,17.665521739130433,16.401440579710144
2,2026,hvc,19.56164347826087,17.665521739130433,15.7694
3,2027,hvc,20.193684057971012,17.665521739130433,15.137359420289854
4,2028,hvc,20.82572463768116,17.665521739130433,14.50531884057971
5,2029,hvc,21.4577652173913,17.665521739130433,13.873278260869565
6,2030,hvc,22.089805797101448,17.665521739130433,13.241237681159419
7,2031,hvc,22.72184637681159,17.665521739130433,12.609197101449276
8,2032,hvc,23.353886956521738,17.665521739130433,11.97715652173913
9,2033,hvc,23.98592753623188,17.665521739130433,11.345115942028986
10,2034,hvc,24.617968115942027,17.665521739130433,10.71307536231884
11,2035,hvc,25.25000869565217,17.665521739130433,10.081034782608695
12,2036,hvc,25.882049275362316,17.665521739130433,9.44899420289855
13,2037,hvc,26.514089855072463,17.665521739130433,8.816953623188406
14,2038,hvc,27.146130434782606,17.665521739130433,8.18491304347826
15,2039,hvc,27.77817101449275,17.665521739130433,7.552872463768116
16,2040,hvc,28.410211594202895,17.665521739130433,6.9208318840579715
17,2041,hvc,29.04225217391304,17.665521739130433,6.288791304347827
18,2042,hvc,29.674292753623185,17.665521739130433,5.656750724637682
19,2043,hvc,30.306333333333328,17.665521739130433,5.024710144927537
20,2044,hvc,30.938373913043474,17.665521739130433,4.392669565217393
21,2045,hvc,31.57041449275362,17.665521739130433,3.760628985507248
22,2046,hvc,32.20245507246376,17.665521739130433,3.128588405797103
23,2047,hvc,32.83449565217391,17.665521739130433,2.4965478260869567
24,2048,hvc,33.46653623188406,17.665521739130433,1.864507246376812
25,2049,hvc,34.0985768115942,17.665521739130433,1.2324666666666673
26,2050,hvc,34.73061739130434,17.665521739130433,0.6004260869565243
