country,electricity residential space,total residential space,total residential water,electricity residential water,total residential cooking,electricity residential cooking,total residential,electricity residential,derived heat residential,thermal uses residential,total services space,electricity services space,total services water,electricity services water,total services cooking,electricity services cooking,total services,electricity services,derived heat services,thermal uses services,total agriculture electricity,total agriculture heat,total agriculture machinery,total agriculture,total road,electricity road,total two-wheel,total passenger cars,electricity passenger cars,total other road passenger,electricity other road passenger,total light duty road freight,electricity light duty road freight,total heavy duty road freight,total rail,electricity rail,total rail passenger,electricity rail passenger,total rail freight,electricity rail freight,total aviation passenger,total aviation freight,total domestic aviation passenger,total international aviation passenger,total domestic aviation freight,total international aviation freight,total domestic aviation,total international aviation,total domestic navigation,total international navigation
LU,0.09102207030796113,4.4582528460800175,0.5408506509033512,0.028752011719132938,0.1842589136749026,0.04414639513556391,5.784651145195065,0.9800439009093757,0.0,5.200337291213116,2.7416121696376643,0.42964741234496207,0.38754337834907376,0.13872110809105936,0.48879748143703383,0.21746057846312994,4.799602678258059,1.9924408503041833,0.7100000000000004,3.7584075376545165,0.03410552775164625,0.18906254463135402,0.05933199882242604,0.2825000712054263,25.012907547031013,0.006537582503034108,0.026090732142124796,9.61195035452163,0.0032742520029449287,0.34688378849703594,0.000672576010893665,0.4835316107788431,0.00048316442385610544,14.544451061091378,0.18787070506432504,0.12889466270463407,0.17086480068620152,0.11850807896971455,0.01700590437812352,0.010386583734919526,1.3692647775079168,2.9770867847386207,0.0,1.3692647775079168,0.14195883953447136,2.835127945204149,0.14195883953447136,4.204392722712066,0.0,0.0
LV,0.04837569074377474,10.384613116949835,2.340644963567189,0.021113172384594966,0.6724545809684214,0.32652826749923863,14.743124497004171,1.7869997346257898,4.284217511442863,13.398134099393324,4.150995102858243,0.421817413562573,0.6219309895211804,0.18546538917869623,0.6530449380559203,0.4981204820144212,7.015731142346706,2.723629714011616,1.544950201464294,5.448903057406379,0.12993097414003488,1.024067185252895,0.6283022133780052,1.782300372770935,9.923692225555435,0.04430668304451984,0.026413105447034027,5.546359480279278,6.36983085949211e-05,0.853156946404734,0.04422967733254512,0.7124780217945105,1.0080120181086826e-05,2.785284671629878,0.8872377538316613,0.03889163480458043,0.12718689197385732,0.038891634804580424,0.7600508618578039,0.0,1.423451394923915,0.01682638285385829,0.0,1.423451394923915,0.011383099264030286,0.005443283589828004,0.011383099264030286,1.428894678513743,0.09444732504491289,2.7937818600000006
ME,0.18428691762019353,1.6699110387853566,0.4476280894929783,0.1555359212866029,0.2968058048131801,0.20058433735409437,3.13138913,1.2769972600000001,,,0.08420605652273316,0.011619785550127245,0.01504797135378126,0.005198335075684077,0.01621943636276206,0.009143699254493983,0.15980783,0.07100115000000001,,,,,,,1.8195018700000003,0.0,0.023374743304404807,1.0703709519894518,0.0,0.08926636792867462,0.0,0.20503188721405052,0.0,0.43145791956341834,0.031866200000000004,0.020003600000000003,0.024002520016761314,0.015367348623627292,0.007863679983238687,0.004636251376372712,0.14909856022518334,0.009650939774816675,0.0,0.14909856022518334,0.0,0.009650939774816675,0.0,0.15874950000000002,0.07118723000000002,0.0
MK,0.4423191483796166,2.8226495861922793,0.8413145426825128,0.37331199161795947,0.6356058031547073,0.48143565708557307,6.036190970000001,3.0650050900000005,,,0.9885463470402409,0.23288296163331187,0.20672486528543757,0.10418468247672413,0.2569197585883557,0.1832574063853998,2.3475271300000005,1.4230002800000001,,,,,,,5.933567850000001,0.0,0.07622725079860408,3.4905810062720652,0.0,0.29110607664715116,0.0,0.6686283945386197,0.0,1.4070251217435599,0.05284672,0.01700306,0.03980563903509613,0.013062246330083196,0.013041080964903865,0.003940813669916804,0.11322752199957879,0.00732905800042122,0.0,0.11322752199957879,0.0,0.00732905800042122,0.0,0.12055658000000001,0.0,0.0
NL,1.6298586976689946,84.68942813303583,21.893183941383803,1.7773949260589401,9.357113200850907,1.3562324711811131,132.6887280464084,23.45301684196818,3.7844426867074854,116.07576375448231,41.256701585982235,3.4487947887252113,8.74386555749784,3.3685105382303595,9.870204039831533,4.025718619627854,84.81143946306823,36.32155823061464,1.7366658600480913,62.05804646052415,6.7784528108968365,31.684305638933232,6.298820126624233,44.7615785764543,121.86847257103743,0.048381893076100455,1.861204605302346,65.71183538795913,0.022202016959228868,3.939807489700578,0.009819762152609613,18.451060419932258,0.0038408434784715697,31.904564668143138,2.034727691797239,1.716116333742955,1.882559071473059,1.5955246718273612,0.1521686203241799,0.12059166191559394,34.92419971151198,5.748609775635073,0.0,34.92419971151198,0.3822845604365483,5.366325215198524,0.3822845604365483,40.2905249267105,4.103892187419366,152.76315521
NO,28.804401730577776,39.45808456243531,7.757949880399734,5.663303412691806,2.5556362108232924,1.8656144339010035,52.202185400000005,38.90400146,,,26.130029515723944,19.07492154647848,3.545729560386932,2.5883825790824604,2.547165145793553,1.8594305564292937,35.12762416,26.495954460000007,,,,,,,39.489374250000004,0.028005040000000002,0.5073113699769504,23.230687369087583,0.00599875137002298,1.9373835604102068,0.018863239609742802,4.449888763994197,0.0031430490202342173,9.364103186531059,0.7961898000000001,0.6040040500000001,0.5997125986669634,0.4640135178884206,0.19647720133303667,0.13999053211157952,9.53481903369833,0.7042329663016708,3.837156822578874,5.697662211119456,0.335431317421127,0.3688016488805438,4.172588140000001,6.06646386,14.428050070000001,4.840906090000001
PL,0.719707263764176,162.69384493310605,37.066477418290695,0.6321409759629364,19.48056221983485,7.554412836839432,237.44274247070248,28.441898996790353,48.88889712347745,219.28587265019746,51.955260494442626,8.819077017180906,8.441123332415255,3.5593519543311287,8.505633232810988,5.38704327166558,93.81952067315392,43.08232151710042,12.791391043403525,69.7380338434871,1.3424590215351815,34.01913900064919,6.315156248520575,41.67675427070494,174.29796279485242,0.06566503664190335,1.115185972116605,96.59925173251918,0.0006594983968755774,9.455957193306968,0.06495879022996191,24.85035470838785,4.674801506585862e-05,42.27721318852181,4.043880652573237,2.8530468343039725,2.283560723689119,1.8658111396792856,1.760319928884118,0.9872356946246871,6.230789077111895,0.07698608946551269,0.5481001624237407,5.682688914688154,0.03306317767518576,0.043922911790326924,0.5811633400989265,5.726611826478481,0.03611112581642298,1.6363293700000003
PT,0.16853103420639537,6.167189443761765,6.844749403026448,0.6192555042551876,8.657967119181887,2.513361052425902,30.644647379477153,12.31396861546159,0.011388980962399788,21.88441540460838,5.314540992166446,1.8223271167970734,2.3288462896580606,1.389450501188967,2.7089567112102446,1.677792763857291,21.132756291752937,15.70110751612303,0.2966663759252526,11.94361641655254,0.8077702887437023,1.9424746346398076,2.1680579713654864,4.918302894748996,60.07163884638256,0.005796247464804267,0.6943809466998286,37.48714626049493,0.004144788310373135,1.8392478706029092,0.0014471892405585024,8.822663675857115,0.00015068153169906648,11.228200092727777,0.4119341087857363,0.29221113468922777,0.3542766997705545,0.261975695831413,0.0576574090151818,0.03023543885781476,12.04189939469445,0.24947267240484822,1.7711568990199187,10.270742495674531,0.1107532522332049,0.13871942017164332,1.8819101512531238,10.409461915846174,1.4175055568193127,7.483056010000001
RO,0.8164119937824674,59.96132511343599,12.535594689161648,0.5966601803368272,8.287391484240173,0.6268225706774041,90.0416838937321,11.895960635306784,10.526118400572317,81.04442001456628,11.472370482472948,0.31126932980776745,2.499852646666194,0.43035561975633935,2.7719690913846016,1.1178608185175691,22.759444431153444,8.001025371554253,2.5952795750395103,16.898643459088195,0.7007809689311082,2.719627160661053,2.094159726588078,5.514567856180239,56.27724851083044,0.006095761615848004,0.21744941693675585,30.680317400032756,0.005639041540646845,11.646944255137056,0.00015561928868615372,7.116715973219791,4.505132889433588e-05,6.615821465504074,2.9624978308219267,1.0611074233348035,2.1230366871828705,0.7659474400326133,0.839461143639056,0.2951599833021901,2.424579253795485,0.029546566493058167,0.20490687455205012,2.2196723792434345,0.02497642466045021,0.004570141832607959,0.2298832992125003,2.2242425210760426,0.48333372495510224,0.48328465000000004
RS,2.041447300754024,17.23241025134951,4.7096888757710875,1.7229567393124234,3.2058768205282546,2.221982761190753,33.10772576,14.145999310000002,,,4.436825941714843,0.8017518796993448,0.8519426499259911,0.3586791598052431,0.985253156817818,0.6309047643840355,9.346379720000002,4.898997940000001,,,,,,,22.236583260000003,0.0,0.285668530623453,13.081268662284423,0.0,1.0909464043385495,0.0,2.5057455043946524,0.0,5.272954158358922,0.5751616500000001,0.47800463000000004,0.43322796621493825,0.3672170905695961,0.14193368378506177,0.11078753943040395,0.4886500505665789,0.03162962943342115,0.0,0.4886500505665789,0.0,0.03162962943342115,0.0,0.52027968,0.10861257000000002,0.10931037
SE,18.4203419908313,55.67334748926343,14.09700520336014,7.62928350560303,5.841710107199814,5.785689042843419,86.98471532467524,43.504196153945145,30.748061957160978,75.74261755247736,22.700405098892183,4.608878048490316,4.269153420938776,1.7706726927590173,4.374008646562861,4.286688107484913,46.05946171198871,25.491266437692087,15.6636143722038,32.15077398576433,1.0361667627692726,2.0898260280447953,1.010335904191686,4.136328695005755,83.04667870338166,0.01280258345751495,0.34320531162223467,51.05330259569601,0.0061524965671318635,6.1507365387542245,0.001514571605766908,7.009050732526921,0.002657098759479214,18.490383524782263,2.761947422261534,2.750002981435833,2.0247546969142176,2.0184609369237854,0.7371927253473161,0.7315420445120471,10.241309021150325,0.18676454919898827,1.9390076232799187,8.302301397870405,0.06947218543730693,0.11729236376168135,2.0084798087172255,8.419593761632086,0.7977769681471846,18.578494690000003
SI,0.34227433442339894,8.376475064050604,2.9220707579747884,0.453818512537254,0.8699951748952809,0.5648060322082612,13.995062824999088,3.2289764898849858,0.9472293430810873,12.239285152226612,2.570621989760942,0.6007517589071416,0.5133561218151605,0.18953808270509473,0.647701991765941,0.48074261627130094,5.65765380957795,3.2179778886185555,0.5774928791411378,3.880746457492038,0.0,0.549946125291897,0.2641860340673345,0.8141321593592316,20.80700782789383,0.00010110043502486967,0.09327831893642177,11.880939237809546,8.371504104872192e-05,0.7193026858478071,0.0,0.9960279918658297,0.0,7.117459593434226,0.27222489410492606,0.15389153928786237,0.14979465172003809,0.07389407828151527,0.12243024238488796,0.0799974610063471,0.3099300394503224,0.004512821170390541,0.0,0.3099300394503224,0.0028361068079113625,0.0016767143624791794,0.0028361068079113625,0.3116067538128016,0.0,0.7076273500000001
