,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID,Status
186,Tihange,Nuclear,Steam Turbine,PP,Belgium,0.0,,2045.0,,,50.5334,5.2714,,,,,,G100000500257,operating
187,Torness,Nuclear,Steam Turbine,PP,United Kingdom,0.0,,2045.0,,,55.9679,-2.4086,,,,,,G100000500435,operating
188,Torness,Nuclear,Steam Turbine,PP,United Kingdom,0.0,,2045.0,,,55.9679,-2.4086,,,,,,G100000500434,operating
189,Tricastin,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,44.3311,4.7311,,,,,,G100000500288,operating
190,Tricastin,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,44.3311,4.7311,,,,,,G100000500285,operating
191,Tricastin,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,44.3311,4.7311,,,,,,G100000500286,operating
192,Tricastin,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,44.3311,4.7311,,,,,,G100000500287,operating
193,Trillo,Nuclear,Steam Turbine,PP,Spain,0.0,,2045.0,,,40.7016,-2.6227,,,,,,G100000500202,operating
194,Vandellos,Nuclear,Steam Turbine,PP,Spain,0.0,,2045.0,,,40.9511,0.8662,,,,,,G100000500241,operating
195,Wloclawek,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,52.6718091,19.0537634,,,,,,G100001009068,announced
196,Wloclawek,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,52.6718091,19.0537634,,,,,,G100001009066,announced
197,Wloclawek,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,52.6718091,19.0537634,,,,,,G100001009067,announced
198,Wloclawek,Nuclear,Steam Turbine,PP,Poland,0.0,,2045.0,,,52.6718091,19.0537634,,,,,,G100001009069,announced
