id,name,source_id,node_id,lat,long,country_code,is_bothDirection,lat_mean,length_km,long_mean,max_pressure_bar,num_compressor,start_year,Capacity_GWh_h,diameter_mm
INET_PL_5,Alessandria_Cortemaggiore,['INET_PL_5'],"['INET_N_317', 'INET_N_26']","[44.991076, 44.90008]","[9.920891, 8.60944]","['IT', 'IT']",0.0,44.945578,103.73911546537694,9.265165499999998,75.0,0.0,1983.0,15.660429644038864,914.4
INET_PL_7,Almendralejo_Badajoz,['INET_PL_7'],"['INET_N_36', 'INET_N_108']","[38.711202, 38.87665]","[-6.382539, -6.9714]","['ES', 'ES']",0.0,38.793926,54.26567651505522,-6.6769695,76.80652874754169,0.0,1983.0,1.4845232338862173,475.85945945945946
INET_PL_9,Almendralejo_Zamora,['INET_PL_9'],"['INET_N_36', 'INET_N_1653']","[38.711202, 41.506]","[-6.382539, -5.644]","['ES', 'ES']",0.0,40.108601,317.14656408978936,-6.0132695,76.80652874754169,0.0,1983.0,7.924429246522989,709.5161904761904
INET_PL_11,Altamura_Candela,['INET_PL_11'],"['INET_N_252', 'INET_N_46']","[41.136273, 40.827134]","[15.514454, 16.553126]","['IT', 'IT']",0.0,40.9817035,93.7495577314835,16.03379,75.0,0.0,1983.0,30.769836674573966,1219.0
INET_PL_13,Altamura_Latiano,['INET_PL_13'],"['INET_N_832', 'INET_N_46']","[40.550803, 40.827134]","[17.717742, 16.553126]","['IT', 'IT']",0.0,40.6889685,102.92069636172059,17.135434,75.0,0.0,1983.0,2.2197672066822136,508.0
INET_PL_15,Altamura_MonteAlpi,['INET_PL_15'],"['INET_N_991', 'INET_N_46']","[40.626457, 40.827134]","[15.985341, 16.553126]","['IT', 'IT']",0.0,40.7267955,52.8095084425058,16.2692335,75.0,0.0,1983.0,2.2197672066822136,508.0
INET_PL_17,Altamura_Palagiano,['INET_PL_17'],"['INET_N_1106', 'INET_N_46']","[40.578453, 40.827134]","[17.038207, 16.553126]","['IT', 'IT']",0.0,40.7027935,49.37837425697909,16.7956665,75.0,0.0,1983.0,30.769836674573966,1219.0
INET_PL_19,Chazelles_Roussines,['INET_PL_19'],"['INET_N_285', 'INET_N_1261']","[45.64714, 46.463]","[0.367019, 1.38]","['FR', 'FR']",0.0,46.05507,119.78577478824157,0.8735094999999999,76.80652874754169,0.0,1983.0,7.924429246522989,709.5161904761904
INET_PL_21,Arad_Szeged,['INET_PL_21'],"['INET_N_71', 'INET_N_1449']","[46.1817, 46.302801]","[21.31056, 20.194969]","['RO', 'HU']",0.0,46.2422505,86.86981590950965,20.752764499999998,72.26453880578005,0.0,1983.0,4.9929398148148145,700.0
INET_PL_23,Arnoldstein_Tarvisio_Extra,['INET_PL_23'],"['INET_N_1468', 'INET_N_76']","[46.505528, 46.5499903]","[13.592806, 13.7057619]","['IT', 'AT']",0.0,46.527759149999994,9.958866273008491,13.649283950000001,76.80652874754169,0.0,1983.0,47.86666666666667,998.4639333647048
